headline,cleaned_headline,label,label_encoded
ไทยอุดหนุนเงินให้กัมพูชา สร้างถนน-ปรับปรุงด่านทั้งหมด 4 พันล้านบาท,ไทยอุดหนุนเงินให้กัมพูชา สร้างถนน-ปรับปรุงด่านทั้งหมด พันล้านบาท,Fake,0
ขอความร่วมมืองดเผยแพร่ภาพ/ข้อมูลที่เกี่ยวข้องกับการปฏิบัติการทางทหาร,ขอความร่วมมืองดเผยแพร่ภาพ/ข้อมูลที่เกี่ยวข้องกับการปฏิบัติการทางทหาร,Real,1
หากเกิดแผ่นดินไหวขนาดใหญ่ที่ร่องลึกมะนิลา อาจทำให้เกิดสึนามิกระทบไทย,หากเกิดแผ่นดินไหวขนาดใหญ่ที่ร่องลึกมะนิลา อาจทำให้เกิดสึนามิกระทบไทย,Real,1
ปปง. เร่งคืนทรัพย์ให้ผู้เสียหาย ติดต่อส่งหลักฐานลงทะเบียนได้ที่ เพจ Online Crime Assistance Office Th,ปปง. เร่งคืนทรัพย์ให้ผู้เสียหาย ติดต่อส่งหลักฐานลงทะเบียนได้ที่ เพจ Online Crime Assistance Office Th,Fake,0
5 สัญญาณบ่งชี้ว่าคุณกำลังติดอินเทอร์เน็ต,สัญญาณบ่งชี้ว่าคุณกำลังติดอินเทอร์เน็ต,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 24 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
กระทรวงกลาโหม จัดประชุม GBC เซ็นสัญญายอมให้ทหารกัมพูชาเข้ามาประจำการที่ปราสาทตาเมือนธม,กระทรวงกลาโหม จัดประชุม GBC เซ็นสัญญายอมให้ทหารกัมพูชาเข้ามาประจำการที่ปราสาทตาเมือนธม,Fake,0
"OR ชวนร่วมเป็นเจ้าของกิจการ ลงทุนหุ้น IPO เริ่มต้น 1,000 บาท ปันผล 290 บาทต่อวัน","OR ชวนร่วมเป็นเจ้าของกิจการ ลงทุนหุ้น IPO เริ่มต้น , บาท ปันผล บาทต่อวัน",Fake,0
กระทรวงยุติธรรม เปิดเพจเฟซบุ๊กชื่อ Technology Crime Suppression Center,กระทรวงยุติธรรม เปิดเพจเฟซบุ๊กชื่อ Technology Crime Suppression Center,Fake,0
"หุ้น OKJ เปิดเทรดวันแรก ราคาเปิดพอร์ตเริ่มต้น 1,000 บาท แนะนำโดยผู้บริหารตลาดหลักทรัพย์ฯ","หุ้น OKJ เปิดเทรดวันแรก ราคาเปิดพอร์ตเริ่มต้น , บาท แนะนำโดยผู้บริหารตลาดหลักทรัพย์ฯ",Fake,0
"กรุงไทย เปิดให้จองสิทธิ์ยืมเงิน 100,000 บาท ลงทะเบียนได้ที่ TikTok ktb.thai","กรุงไทย เปิดให้จองสิทธิ์ยืมเงิน , บาท ลงทะเบียนได้ที่ TikTok ktb.thai",Fake,0
เข้าห้องน้ำก่อนปวด เสี่ยงกระเพาะปัสสาวะพัง,เข้าห้องน้ำก่อนปวด เสี่ยงกระเพาะปัสสาวะพัง,Fake,0
ก.ล.ต. เปิดเว็บไซต์ให้ผู้ลงทุนสะสมคะแนน,ก.ล.ต. เปิดเว็บไซต์ให้ผู้ลงทุนสะสมคะแนน,Fake,0
ฝนตก ยุงกัด รวม 5 วิธีป้องกันยุงลายหลีกเลี่ยงไข้เลือดออก,ฝนตก ยุงกัด รวม วิธีป้องกันยุงลายหลีกเลี่ยงไข้เลือดออก,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 23 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
เตรียมรับมือ พายุวิภา เข้าไทย ศูนย์กลางผ่าน จ.น่าน ทำภาคเหนือ อีสาน กลาง เสี่ยงน้ำท่วม,เตรียมรับมือ พายุวิภา เข้าไทย ศูนย์กลางผ่าน จ.น่าน ทำภาคเหนือ อีสาน กลาง เสี่ยงน้ำท่วม,Fake,0
วันที่ 23 ก.ค. 68 จะเกิดปรากฏการณ์ Red Rain ถล่ม อ.เมือง จ.เชียงราย นานถึง 40 ชม.,วันที่ ก.ค. จะเกิดปรากฏการณ์ Red Rain ถล่ม อ.เมือง จ.เชียงราย นานถึง ชม.,Fake,0
เตือน 9 จังหวัด ภาคกลางตอนบนและภาคเหนือ มีฝนตกหนักต่อเนื่อง ทำดินถล่ม-น้ำป่าไหลหลาก,เตือน จังหวัด ภาคกลางตอนบนและภาคเหนือ มีฝนตกหนักต่อเนื่อง ทำดินถล่ม-น้ำป่าไหลหลาก,Fake,0
"ออมสินเปิดสินเชื่อให้ยืม ผ่านเพจ LEASE it PCL 3897 วงเงินสูงสุด 1,000,000 บาท","ออมสินเปิดสินเชื่อให้ยืม ผ่านเพจ LEASE it PCL วงเงินสูงสุด ,, บาท",Fake,0
กยศ. เร่งคืนเงินให้ผู้กู้ยืมที่ถูกหักเงินซ้ำซ้อน,กยศ. เร่งคืนเงินให้ผู้กู้ยืมที่ถูกหักเงินซ้ำซ้อน,Real,1
การบ่นทำให้ร่างกายอักเสบ ส่งผลร้ายเทียบเท่าการสูบบุหรี่,การบ่นทำให้ร่างกายอักเสบ ส่งผลร้ายเทียบเท่าการสูบบุหรี่,Fake,0
ผู้ป่วยโรคฝีดาษในประเทศไทยลดน้อยลงในปี 2568,ผู้ป่วยโรคฝีดาษในประเทศไทยลดน้อยลงในปี,Real,1
ขนส่งฯ เปิดรับทำใบขับขี่ออนไลน์ สำหรับบุคคลที่ไม่เคยมีใบขับขี่มาก่อน จัดส่งฟรีทั่วประเทศ,ขนส่งฯ เปิดรับทำใบขับขี่ออนไลน์ สำหรับบุคคลที่ไม่เคยมีใบขับขี่มาก่อน จัดส่งฟรีทั่วประเทศ,Fake,0
5 สัญญาณเงียบ เตือนภาวะความดันสูง,สัญญาณเงียบ เตือนภาวะความดันสูง,Fake,0
ธนาคารกรุงไทย ปล่อยสินเชื่อผ่านบัญชี TikTok @oappqshckv7,ธนาคารกรุงไทย ปล่อยสินเชื่อผ่านบัญชี TikTok @oappqshckv,Fake,0
ควันและนิโคติน ภัยจากบุหรี่ไฟฟ้าที่อาจถึงตายได้,ควันและนิโคติน ภัยจากบุหรี่ไฟฟ้าที่อาจถึงตายได้,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 22 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
พายุวิภา ส่งผลแรงกระทบไทยถึง 24 ก.ค. 68,พายุวิภา ส่งผลแรงกระทบไทยถึง ก.ค.,Real,1
กินทุเรียนกับน้ำอัดลมพิษร้ายแรงกว่าพิษงูเห่า,กินทุเรียนกับน้ำอัดลมพิษร้ายแรงกว่าพิษงูเห่า,Fake,0
ปปง. เปิดช่องทางออนไลน์ให้ลงทะเบียนรับเงินคืน ผ่านเพจ Help and prevent online scams,ปปง. เปิดช่องทางออนไลน์ให้ลงทะเบียนรับเงินคืน ผ่านเพจ Help and prevent online scams,Fake,0
ประกาศขึ้นทะเบียน GI เหล้าแป้ สุราท้องถิ่นเมืองแพร่,ประกาศขึ้นทะเบียน GI เหล้าแป้ สุราท้องถิ่นเมืองแพร่,Real,1
ก.ล.ต. เปิดลงทุนผ่านเว็บไซต์ CME Group,ก.ล.ต. เปิดลงทุนผ่านเว็บไซต์ CME Group,Fake,0
ใช้เบกกิ้งโซดา เพียง 10 วินาที กำจัดเชื้อราที่เท้าได้อย่างสมบูรณ์,ใช้เบกกิ้งโซดา เพียง วินาที กำจัดเชื้อราที่เท้าได้อย่างสมบูรณ์,Fake,0
ดื่มแอลกอฮอล์แล้วหน้าแดง เสี่ยงตับพัง,ดื่มแอลกอฮอล์แล้วหน้าแดง เสี่ยงตับพัง,Real,1
ป้องกันตัวจากโรคร้ายที่มาพร้อมกับน้ำท่วม,ป้องกันตัวจากโรคร้ายที่มาพร้อมกับน้ำท่วม,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 21 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
กยศ. หักเงินอัตโนมัติจากบัญชี SCB,กยศ. หักเงินอัตโนมัติจากบัญชี SCB,Fake,0
"อยากเป็นเจ้าของ Amazon ต้องลงทุนหุ้น OR เริ่มต้น 1,000 บาท รับปันผล 390 บาท","อยากเป็นเจ้าของ Amazon ต้องลงทุนหุ้น OR เริ่มต้น , บาท รับปันผล บาท",Fake,0
ยกเลิกชะลอจัดส่งแรงงานไทยไปทำงานอิสราเอล ในพื้นที่สีเขียว,ยกเลิกชะลอจัดส่งแรงงานไทยไปทำงานอิสราเอล ในพื้นที่สีเขียว,Real,1
ชาวจีนสามารถเปิดร้านค้าในไทยได้โดยไม่ต้องมีวีซ่า,ชาวจีนสามารถเปิดร้านค้าในไทยได้โดยไม่ต้องมีวีซ่า,Fake,0
ระบบกองทุน กยศ. (DSL) ที่สร้างโดยธนาคารกรุงไทย ยิ่งส่ง ยอดยิ่งเพิ่ม,ระบบกองทุน กยศ. (DSL) ที่สร้างโดยธนาคารกรุงไทย ยิ่งส่ง ยอดยิ่งเพิ่ม,Fake,0
PTT ส่ง SMS เตือนแต้มบลูการ์ดใกล้หมดอายุ ให้รีบกดใช้ผ่านลิงก์,PTT ส่ง SMS เตือนแต้มบลูการ์ดใกล้หมดอายุ ให้รีบกดใช้ผ่านลิงก์,Fake,0
กินผลไม้สดขณะท้องว่าง ช่วยรักษามะเร็ง,กินผลไม้สดขณะท้องว่าง ช่วยรักษามะเร็ง,Fake,0
5 กลลวงที่ต้องระวัง ถ้าไม่อยากทำบุญออนไลน์กับมิจฉาชีพ,กลลวงที่ต้องระวัง ถ้าไม่อยากทำบุญออนไลน์กับมิจฉาชีพ,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 20 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
CISPI จัดทำหนังสือ World Soft Power Focus E- Magazine,CISPI จัดทำหนังสือ World Soft Power Focus E- Magazine,Fake,0
SET เปิดสอนให้ความรู้เกี่ยวกับตลาดหุ้นไทยฟรี ผ่านเพจ SET Education,SET เปิดสอนให้ความรู้เกี่ยวกับตลาดหุ้นไทยฟรี ผ่านเพจ SET Education,Fake,0
แบงค์ชาติ เตือน ปชช. ให้พกเงินสดไว้ 3-6 เดือน เพราะจะเกิดการล็อกดาวน์ทั่วประเทศ และทั่วโลก,แบงค์ชาติ เตือน ปชช. ให้พกเงินสดไว้ - เดือน เพราะจะเกิดการล็อกดาวน์ทั่วประเทศ และทั่วโลก,Fake,0
ปี 2568 กรุงเทพฯ และปริมณฑล เสี่ยงน้ำท่วมถาวร,ปี กรุงเทพฯ และปริมณฑล เสี่ยงน้ำท่วมถาวร,Fake,0
คุมเข้ม “ยาทรามาดอล” สูตรยาเดี่ยวชนิดรับประทาน เป็นยาควบคุมพิเศษ,คุมเข้ม “ยาทรามาดอล” สูตรยาเดี่ยวชนิดรับประทาน เป็นยาควบคุมพิเศษ,Real,1
ไทยลักลอบส่งออกนมสดไปกัมพูชา,ไทยลักลอบส่งออกนมสดไปกัมพูชา,Fake,0
ธ.ออมสิน ปล่อยสินเชื่อ ผ่านบัญชี TikTok ชื่อ user60677587811691,ธ.ออมสิน ปล่อยสินเชื่อ ผ่านบัญชี TikTok ชื่อ user,Fake,0
วิธีขับรถให้ปลอดภัย เมื่อเจอน้ำท่วม,วิธีขับรถให้ปลอดภัย เมื่อเจอน้ำท่วม,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 19 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
กรมศุลกากรกัมพูชาให้นำเข้าสินค้าไทยได้ปกติ ยกเว้นผักผลไม้กับน้ำมัน,กรมศุลกากรกัมพูชาให้นำเข้าสินค้าไทยได้ปกติ ยกเว้นผักผลไม้กับน้ำมัน,Real,1
ธนาคารออมสิน เปิดขายหวยออนไลน์ถูกกฎหมายทางเฟซบุ๊ก,ธนาคารออมสิน เปิดขายหวยออนไลน์ถูกกฎหมายทางเฟซบุ๊ก,Fake,0
พิษของผึ้ง ทำลายเซลล์มะเร็งเต้านมรุนแรงได้ โดยไม่กระทบเซลล์ปกติ,พิษของผึ้ง ทำลายเซลล์มะเร็งเต้านมรุนแรงได้ โดยไม่กระทบเซลล์ปกติ,Fake,0
19 - 23 ก.ค. 68 ไทยจะมีฝนเพิ่มขึ้น,- ก.ค. ไทยจะมีฝนเพิ่มขึ้น,Real,1
"เพจ Amazon Coffee สร้างงานสร้างธุรกิจ เปิดขายหุ้น OR เริ่มต้น 3,000 บาท รับปันผลรายวัน 1,170 บาท","เพจ Amazon Coffee สร้างงานสร้างธุรกิจ เปิดขายหุ้น OR เริ่มต้น , บาท รับปันผลรายวัน , บาท",Fake,0
เชื้อวิบริโอแฝงตัวในหอยนางรมดิบ ทำให้ติดเชื้อในกระแสเลือดได้,เชื้อวิบริโอแฝงตัวในหอยนางรมดิบ ทำให้ติดเชื้อในกระแสเลือดได้,Real,1
ทำใบขับขี่ถูกกฎหมาย ได้ทั้งรถยนต์-มอเตอร์ไซค์ ติดต่อเพจเฟซบุ๊กธิติรัตน์ รับทำใบขับขี่ออนไลน์,ทำใบขับขี่ถูกกฎหมาย ได้ทั้งรถยนต์-มอเตอร์ไซค์ ติดต่อเพจเฟซบุ๊กธิติรัตน์ รับทำใบขับขี่ออนไลน์,Fake,0
ข่าวเด่นน่าสนใจประจำสัปดาห์ (วันที่ 11 - 17 ก.ค. 68),ข่าวเด่นน่าสนใจประจำสัปดาห์ (วันที่ - ก.ค. ),Real,1
ห้ามจับ!! มังกรทะเลสีน้ำเงิน (Blue Dragon) สวยพิษร้าย อันตรายถึงชีวิต,ห้ามจับ!! มังกรทะเลสีน้ำเงิน (Blue Dragon) สวยพิษร้าย อันตรายถึงชีวิต,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 18 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
16 ก.ค. 68 อ.สอง จ.แพร่ น้ำใกล้ล้นตลิ่ง ริมแม่น้ำยม จ.สุโขทัย เตรียมยกของขึ้นที่สูง,ก.ค. อ.สอง จ.แพร่ น้ำใกล้ล้นตลิ่ง ริมแม่น้ำยม จ.สุโขทัย เตรียมยกของขึ้นที่สูง,Fake,0
กัมพูชา นำวรรณกรรมไทย 22 เรื่อง ไปขึ้นทะเบียนมรดกโลก,กัมพูชา นำวรรณกรรมไทย เรื่อง ไปขึ้นทะเบียนมรดกโลก,Fake,0
กรมบัญชีกลาง ออกหนังสือมอบอำนาจ ให้ บริษัท ปตท. จำกัด (มหาชน) เป็นผู้ให้บริการด้านการลงทุน,กรมบัญชีกลาง ออกหนังสือมอบอำนาจ ให้ บริษัท ปตท. จำกัด (มหาชน) เป็นผู้ให้บริการด้านการลงทุน,Fake,0
สำนักงานสลากกินแบ่งรัฐบาล เปิดช่อง TikTok ชื่อ logvognaii แจกเลขล็อก,สำนักงานสลากกินแบ่งรัฐบาล เปิดช่อง TikTok ชื่อ logvognaii แจกเลขล็อก,Fake,0
ปปง. ร่วมกับ CIB เปิดโอกาสให้ผู้เสียหาย ลงทะเบียนขอสิทธิคุ้มครองรับเงินคืน ผ่านเพจ Alf Zulauf,ปปง. ร่วมกับ CIB เปิดโอกาสให้ผู้เสียหาย ลงทะเบียนขอสิทธิคุ้มครองรับเงินคืน ผ่านเพจ Alf Zulauf,Fake,0
เหนื่อยง่าย แน่นหน้าอก และอึดอัดเมื่อนอนราบ เป็นสัญญาณเตือนภาวะหัวใจวาย,เหนื่อยง่าย แน่นหน้าอก และอึดอัดเมื่อนอนราบ เป็นสัญญาณเตือนภาวะหัวใจวาย,Fake,0
"OR เปิดขายหุ้น IPO ให้ ปชช. ลงทุนธุรกิจ Café Amazon เริ่มต้นเพียง 1,000 บาท ผ่านเพจ Stock Dreamy Coffee","OR เปิดขายหุ้น IPO ให้ ปชช. ลงทุนธุรกิจ Café Amazon เริ่มต้นเพียง , บาท ผ่านเพจ Stock Dreamy Coffee",Fake,0
ป้องกันฟ้าผ่า ทุกที่ ทุกสถานการณ์,ป้องกันฟ้าผ่า ทุกที่ ทุกสถานการณ์,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 17 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
กลุ่มปราสาทตาเมือนเป็นโบราณสถานของไทย,กลุ่มปราสาทตาเมือนเป็นโบราณสถานของไทย,Real,1
เจ้าหน้าที่กรมบัญชีกลาง ติดต่อแจ้งวิธีผูกบัญชีเพื่อขอรับเงิน ช.ค.บ.,เจ้าหน้าที่กรมบัญชีกลาง ติดต่อแจ้งวิธีผูกบัญชีเพื่อขอรับเงิน ช.ค.บ.,Fake,0
TikTok ชื่อ ktb0357 ของธนาคารกรุงไทย ปล่อยสินเชื่อเงินด่วน,TikTok ชื่อ ktb ของธนาคารกรุงไทย ปล่อยสินเชื่อเงินด่วน,Fake,0
กรมการจัดหางาน เปิดรับสมัครงานแพ็กของที่บ้าน ผ่านเพจ บ้านงานฝีมือ,กรมการจัดหางาน เปิดรับสมัครงานแพ็กของที่บ้าน ผ่านเพจ บ้านงานฝีมือ,Fake,0
รฟท. เปิดตัวรถด่วนคริสตัล 2026 เส้นทางกรุงเทพฯ-เชียงใหม่,รฟท. เปิดตัวรถด่วนคริสตัล เส้นทางกรุงเทพฯ-เชียงใหม่,Fake,0
"OR เปิดขายหุ้น IPO ลงทุนเริ่มต้น 1,000 บาท รับปันผล 290 บาทต่อวัน","OR เปิดขายหุ้น IPO ลงทุนเริ่มต้น , บาท รับปันผล บาทต่อวัน",Fake,0
กองสลากฯ สั่งล็อกเลขสลากกินแบ่งรัฐบาล งวดวันที่ 16 ก.ค. 68,กองสลากฯ สั่งล็อกเลขสลากกินแบ่งรัฐบาล งวดวันที่ ก.ค.,Fake,0
ระวังให้ดี! 4 โรคร้ายในหน้าฝน,ระวังให้ดี! โรคร้ายในหน้าฝน,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 16 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
